shortnam,lat_abst,avexpr,logpgp95,logem4
AGO,0.136666670441628,5.36363649368286,7.77064514160156,5.63478946685791
ARG,0.37777778506279,6.38636350631714,9.13345909118652,4.23265600204468
AUS,0.300000011920929,9.31818199157715,9.89797210693359,2.14593124389648
BFA,0.144444450736046,4.45454549789429,6.84588003158569,5.63478946685791
BGD,0.266666680574417,5.13636350631714,6.87729597091675,4.26843786239624
BHS,0.268333315849304,7.5,9.28544807434082,4.44265127182007
BOL,0.188888892531395,5.63636350631714,7.92660236358643,4.26268005371094
BRA,0.111111111938953,7.90909099578857,8.72745418548584,4.26268005371094
CAN,0.666666686534882,9.72727298736572,9.98644924163818,2.77881932258606
CHL,0.333333343267441,7.81818199157715,9.33609199523926,4.23265600204468
CIV,0.0888888910412788,7,7.44424867630005,6.50428819656372
CMR,0.0666666701436043,6.45454549789429,7.50108194351196,5.63478946685791
COG,0.0111111113801599,4.68181800842285,7.420578956604,5.48063898086548
COL,0.0444444455206394,7.31818199157715,8.80986309051514,4.26268005371094
CRI,0.111111111938953,7.04545450210571,8.79482460021973,4.35799026489258
DOM,0.21111111342907,6.18181800842285,8.36404228210449,4.86753463745117
DZA,0.311111122369766,6.5,8.38935947418213,4.35926961898804
ECU,0.0222222227603197,6.54545450210571,8.47010135650635,4.26268005371094
EGY,0.300000011920929,6.77272748947144,7.95155954360962,4.21656227111816
ETH,0.0888888910412788,5.72727251052856,6.10924768447876,3.25809645652771
GAB,0.0111111113801599,7.81818199157715,8.90788269042969,5.63478946685791
GHA,0.0888888910412788,6.27272748947144,7.36518001556397,6.50428819656372
GIN,0.122222222387791,6.54545450210571,7.48997068405151,6.18001651763916
GMB,0.147555559873581,8.27272701263428,7.27239847183228,7.2930178642273
GTM,0.170000001788139,5.13636350631714,8.29404926300049,4.26268005371094
GUY,0.0555555559694767,5.88636350631714,7.90470409393311,3.47134518623352
HKG,0.246111109852791,8.1363639831543,10.049750328064,2.70136117935181
HND,0.16666667163372,5.31818199157715,7.68708038330078,4.35799026489258
HTI,0.21111111342907,3.72727274894714,7.14677238464356,4.86753463745117
IDN,0.0555999986827374,7.59090900421143,8.07090568542481,5.13579845428467
IND,0.222200006246567,8.27272701263428,7.32600021362305,3.88424062728882
JAM,0.201666668057442,7.09090900421143,8.18868923187256,4.86753463745117
KEN,0.0111111113801599,6.04545450210571,7.05617523193359,4.9767336845398
LKA,0.0777777805924416,6.04545450210571,7.73193073272705,4.24563407897949
MAR,0.355555564165115,7.09090900421143,8.04237842559815,4.35926961898804
MDG,0.222222223877907,4.45454549789429,6.8351845741272,6.28420877456665
MEX,0.25555557012558,7.5,8.94376754760742,4.26268005371094
MLI,0.188888892531395,4,6.56526517868042,7.9861650466919
MLT,0.394444435834885,7.22727251052856,9.42706298828125,2.7911651134491
MYS,0.0255555547773838,7.95454549789429,8.89425849914551,2.87356472015381
NER,0.177777782082558,5,6.73340177536011,5.99146461486816
NGA,0.111111111938953,5.54545450210571,6.8134446144104,7.60290050506592
NIC,0.144444450736046,5.22727251052856,7.5443320274353,5.09558916091919
NZL,0.455555558204651,9.72727298736572,9.75614738464355,2.14593124389648
PAK,0.333333343267441,6.04545450210571,7.35244131088257,3.61064767837524
PAN,0.100000001490116,5.90909099578857,8.83637428283691,5.09558916091919
PER,0.111111111938953,5.77272748947144,8.39615440368652,4.26268005371094
PRY,0.25555557012558,6.95454549789429,8.20794677734375,4.35799026489258
SDN,0.16666667163372,4,7.30653142929077,4.47960710525513
SEN,0.155555561184883,6,7.40245151519775,5.10388278961182
SGP,0.0135555556043983,9.31818199157715,10.1464338302612,2.87356472015381
SLE,0.0922222211956978,5.81818199157715,6.25382900238037,6.18001651763916
SLV,0.150000005960464,5,7.94803190231323,4.35799026489258
TGO,0.0888888910412788,6.90909099578857,7.2225661277771,6.50428819656372
TTO,0.122222222387791,7.45454549789429,8.76873016357422,4.44265127182007
TUN,0.37777778506279,6.45454549789429,8.4826021194458,4.14313459396362
TZA,0.0666666701436043,6.63636350631714,6.25382900238037,5.63478946685791
UGA,0.0111111113801599,4.45454549789429,6.96602439880371,5.63478946685791
URY,0.366666674613953,7,9.03121376037598,4.26268005371094
USA,0.422222226858139,10,10.2157402038574,2.70805025100708
VEN,0.0888888910412788,7.13636350631714,9.07107830047607,4.35799026489258
VNM,0.177777782082558,6.40909099578857,7.27931880950928,4.94164228439331
ZAF,0.322222232818604,6.86363649368286,8.88599395751953,2.74083995819092
ZAR,0,3.5,6.86693334579468,5.48063898086548
